_id,id,name,description,flash_time,flash_yellow,operation_type,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
138,517929728,TS239,Commons - Ridge Ave,24 Hr stop and go,,Fully Actuated,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45219124,-80.00765178
139,831550141,TS24,Blvd of the Allies - Grant St,24 Hr stop and go,,Fixed,Central Business District,6,1,42003020100,6,1,2,1-4,40.43707158,-79.99836601
140,713215469,TS240,Commons - Sandusky St - Stockton Ave,24 Hr stop and go,,Fully Actuated,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45069805,-80.00294111
141,716179702,TS241,Commonwealth Pl - Liberty Ave,24 Hr stop and go,,Fixed,Central Business District,6,2,42003020100,6,2,2,1-3,40.44094369,-80.0067775
142,1358581049,TS242,Craft Ave - Fifth Ave,24 Hr stop and go,,Fixed / Ped Actuated,South Oakland,6,4,42003040900,3,4,4,2-14,40.4378499,-79.96393561
143,1318549967,TS243,Craft Ave - Forbes Ave,24 Hr stop and go,FORBES AVE,Fixed / Ped Actuated,South Oakland,6,4,42003040900,3,4,4,2-14,40.43711678,-79.96311466
144,398270442,TS244,Crafton Blvd - Stratmore St,24 Hr stop and go,,Fixed,Westwood,2,28,42003563100,5,28,6,1-18,40.43777463,-80.05586093
145,963888247,TS245,Craig St - Fifth Ave,24 Hr stop and go,FIFTH AVE,Fixed / Ped Actuated,North Oakland,8,4,42003040400,3,4,4,2-9,40.44694438,-79.94900943
146,1769921946,TS246,Craig St - Forbes Ave,24 Hr stop and go,FORBES AVE,Semi Actuated,North Oakland,8,4,42003982200,3,4,4,2-9,40.44442364,-79.94860112
147,1432370983,TS247,Crosstown Blvd  Ramp - Liberty Br,24 Hr stop and go,SIXTH AVE,Fully Actuated,Bluff,6,1,42003010300,3,1,2,1-4,40.43614664,-79.99448192
148,1120565715,TS248,East Liberty Blvd - Penn Ave,24 Hr stop and go,PENN AVE,Actuated,Larimer,8,7,42003120800,2,7,5,3-13,40.45748904,-79.91741515
149,68099917,TS249,Dallas Ave - Forbes Ave,24 Hr stop and go,FORBES AVE,Fixed,Squirrel Hill South,5,14,42003140800,3,14,4,2-18,40.43803562,-79.91308603
150,718017143,TS25,Blvd of the Allies - Halket St - Zulema St,24 Hr stop and go,,Fixed / Ped Actuated,Central Oakland,3,4,42003040500,3,4,4,2-14,40.43591205,-79.95812186
151,1831431118,TS250,Dallas Ave - Hamilton Ave,24 Hr stop and go,HAMILTON AVE,Fixed,Homewood West,9,12,42003120700,2,12,5,3-17,40.45627195,-79.90476258
152,178719949,TS251,DALLAS  KELLY,24 Hr Stop & Go,KELLY ST,Fixed,Homewood West,9,12,42003120700,2,12,5,3-17,40.4572061,-79.90438872
153,1799478826,TS252,Dallas Ave - Penn Ave,stop and go,PENN AVE,Fully Actuated,Point Breeze North,8,14,42003140500,3,14,4,3-14,40.4514949,-79.90819488
